system:index,date,era5_et,era5_precip,era5_temp,latitude,longitude,.geo
20250101,2025-01-01,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102,2025-01-02,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103,2025-01-03,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104,2025-01-04,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105,2025-01-05,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106,2025-01-06,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107,2025-01-07,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108,2025-01-08,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109,2025-01-09,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110,2025-01-10,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111,2025-01-11,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112,2025-01-12,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113,2025-01-13,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114,2025-01-14,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115,2025-01-15,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116,2025-01-16,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117,2025-01-17,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118,2025-01-18,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119,2025-01-19,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120,2025-01-20,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250121,2025-01-21,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250122,2025-01-22,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123,2025-01-23,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124,2025-01-24,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250125,2025-01-25,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250126,2025-01-26,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250127,2025-01-27,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250128,2025-01-28,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250129,2025-01-29,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250130,2025-01-30,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250131,2025-01-31,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250201,2025-02-01,,,,18.5216365135558,74.02188645373674,"{""type"":""MultiPoint"",""coordinates"":[]}"
